Table 4.3b: Disaggregated foods; % achieving 5 A Day fruit and vegetable portions (including non-consumers) by NDNS survey years and combined child/adult age groups,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,
National Diet and Nutrition Survey. UK Results from Years 12 to 15 (2019 to 2023). ,,,,,,
Aged 11 years and over,,,,,,
2008 to 2023,,,,,,
% achieving 5 A Day,Years 1 to 2(2008 to 2010),Years 3 to 4(2010 to 2012),Years 5 to 6(2012 to 2014),Years 7 to 8(2014 to 2016),Years 9 to 11(2016 to 2019)[note 1],Years 12 to 15(2019 to 2023)[note 2][ note 3]
Children 11 to 18 years,9.64893155754946,6.49919260038035,8.47074313619419,7.90769192882838,11.653717171754,9.49472095172288
Adults 19 years and over,30.795378281263,28.8003969301676,28.6852075599541,29.6182913175572,33.6125804225617,17.3802154792568
Bases (unweighted) Children 11 to 18 years,725,772,548,542,683,755
Bases (unweighted) Adults 19 years and older,1613,1837,1288,1417,1844,2146
[note 1] Years 9 to 11 is based on 3 survey years whereas all previous combinations are paired survey years. ,,,,,,
[note 2] Years 12 to 15 is based on 4 survey years.,,,,,,
[note 3] Years 12 to 15 dietary data was collected using Intake24 online whereas Years 1 to 11 dietary data was collected using a paper diary and the vertical line in the table indicates where this diet method change occurred.,,,,,,
